la_code,la_name,date_code,measurement,units,value,type_of_tenure,household_type,age,gender,limiting_long_term_physical_or_mental_health_condition
S12000018,Inverclyde,2016,Mean,SWEMWBS Score,24.32,All,Pensioners,All,All,All
S12000019,Midlothian,2016,Mean,SWEMWBS Score,25,All,With Children,All,All,All
S12000020,Moray,2016,Mean,SWEMWBS Score,24.78,All,With Children,All,All,All
S12000020,Moray,2016,Mean,SWEMWBS Score,23.17,All,Adults,All,All,All
S12000018,Inverclyde,2016,Mean,SWEMWBS Score,23.57,All,All,16-34 years,All,All
S12000011,East Renfrewshire,2016,Mean,SWEMWBS Score,24.32,All,All,35-64 years,All,All
S12000013,Na h-Eileanan Siar,2016,Mean,SWEMWBS Score,24.63,All,All,16-34 years,All,All
S12000019,Midlothian,2016,Mean,SWEMWBS Score,25.66,All,All,16-34 years,All,All
S12000047,Fife,2016,Mean,SWEMWBS Score,25.23,All,All,16-34 years,All,All
S12000018,Inverclyde,2016,Mean,SWEMWBS Score,24.49,All,All,35-64 years,All,All
S12000014,Falkirk,2016,Mean,SWEMWBS Score,24.05,All,Adults,All,All,All
S12000021,North Ayrshire,2016,Mean,SWEMWBS Score,24.78,All,With Children,All,All,All
S12000021,North Ayrshire,2016,Mean,SWEMWBS Score,25.13,All,Pensioners,All,All,All
S12000021,North Ayrshire,2016,Mean,SWEMWBS Score,23.94,All,Adults,All,All,All
S12000011,East Renfrewshire,2016,Mean,SWEMWBS Score,24.9,All,Pensioners,All,All,All
S12000013,Na h-Eileanan Siar,2016,Mean,SWEMWBS Score,26.35,All,Pensioners,All,All,All
S12000014,Falkirk,2016,Mean,SWEMWBS Score,24.48,All,Pensioners,All,All,All
S12000014,Falkirk,2016,Mean,SWEMWBS Score,24.11,All,With Children,All,All,All
S12000023,Orkney Islands,2016,Mean,SWEMWBS Score,24.89,All,Adults,All,All,All
S12000019,Midlothian,2016,Mean,SWEMWBS Score,24.66,All,Adults,All,All,All
S12000020,Moray,2016,Mean,SWEMWBS Score,24.92,All,Pensioners,All,All,All
S12000023,Orkney Islands,2016,Mean,SWEMWBS Score,26.11,All,With Children,All,All,All
S12000023,Orkney Islands,2016,Mean,SWEMWBS Score,26.31,All,Pensioners,All,All,All
S12000040,West Lothian,2016,Mean,SWEMWBS Score,23.98,All,Pensioners,All,All,All
S12000023,Orkney Islands,2016,Mean,SWEMWBS Score,25.38,All,All,16-34 years,All,All
S12000040,West Lothian,2016,Mean,SWEMWBS Score,25.31,All,Adults,All,All,All
S12000041,Angus,2016,Mean,SWEMWBS Score,23.98,All,Adults,All,All,All
S12000020,Moray,2016,Mean,SWEMWBS Score,23.28,All,All,16-34 years,All,All
S12000019,Midlothian,2016,Mean,SWEMWBS Score,24.12,All,All,35-64 years,All,All
S12000021,North Ayrshire,2016,Mean,SWEMWBS Score,24.37,All,All,35-64 years,All,All
S12000023,Orkney Islands,2016,Mean,SWEMWBS Score,25.39,All,All,35-64 years,All,All
S12000038,Renfrewshire,2016,Mean,SWEMWBS Score,24.37,All,Pensioners,All,All,All
S12000038,Renfrewshire,2016,Mean,SWEMWBS Score,24.56,All,With Children,All,All,All
S12000041,Angus,2016,Mean,SWEMWBS Score,24.14,All,Pensioners,All,All,All
S12000042,Dundee City,2016,Mean,SWEMWBS Score,23.23,All,Adults,All,All,All
S12000040,West Lothian,2016,Mean,SWEMWBS Score,24.57,All,With Children,All,All,All
S12000041,Angus,2016,Mean,SWEMWBS Score,24.66,All,With Children,All,All,All
S12000042,Dundee City,2016,Mean,SWEMWBS Score,23.64,All,With Children,All,All,All
S12000026,Scottish Borders,2016,Mean,SWEMWBS Score,24.77,All,All,16-34 years,All,All
S12000048,Perth and Kinross,2016,Mean,SWEMWBS Score,24.58,All,All,16-34 years,All,All
S12000026,Scottish Borders,2016,Mean,SWEMWBS Score,24.11,All,All,35-64 years,All,All
S12000011,East Renfrewshire,2016,Mean,SWEMWBS Score,24.38,All,All,16-34 years,All,All
S12000014,Falkirk,2016,Mean,SWEMWBS Score,24.3,All,All,16-34 years,All,All
S12000010,East Lothian,2016,Mean,SWEMWBS Score,24.35,All,All,35-64 years,All,All
S12000013,Na h-Eileanan Siar,2016,Mean,SWEMWBS Score,25.02,All,All,35-64 years,All,All
S12000014,Falkirk,2016,Mean,SWEMWBS Score,24.08,All,All,35-64 years,All,All
S12000027,Shetland Islands,2016,Mean,SWEMWBS Score,24.74,All,All,16-34 years,All,All
S12000021,North Ayrshire,2016,Mean,SWEMWBS Score,24.05,All,All,16-34 years,All,All
S12000020,Moray,2016,Mean,SWEMWBS Score,23.97,All,All,35-64 years,All,All
S12000028,South Ayrshire,2016,Mean,SWEMWBS Score,24.4,All,All,16-34 years,All,All
S12000048,Perth and Kinross,2016,Mean,SWEMWBS Score,24.45,All,All,35-64 years,All,All
S12000028,South Ayrshire,2016,Mean,SWEMWBS Score,24.18,All,All,35-64 years,All,All
S12000027,Shetland Islands,2016,Mean,SWEMWBS Score,24.61,All,All,35-64 years,All,All
S12000010,East Lothian,2016,Mean,SWEMWBS Score,24.23,All,With Children,All,All,All
S12000010,East Lothian,2016,Mean,SWEMWBS Score,24.54,All,Pensioners,All,All,All
S12000011,East Renfrewshire,2016,Mean,SWEMWBS Score,24.73,All,With Children,All,All,All
S12000005,Clackmannanshire,2016,Mean,SWEMWBS Score,24.65,All,With Children,All,All,All
S12000005,Clackmannanshire,2016,Mean,SWEMWBS Score,24.17,All,Pensioners,All,All,All
S12000008,East Ayrshire,2016,Mean,SWEMWBS Score,23.73,All,Adults,All,All,All
S12000008,East Ayrshire,2016,Mean,SWEMWBS Score,23.95,All,With Children,All,All,All
S12000010,East Lothian,2016,Mean,SWEMWBS Score,23.72,All,Adults,All,All,All
S12000011,East Renfrewshire,2016,Mean,SWEMWBS Score,23.95,All,Adults,All,All,All
S12000006,Dumfries and Galloway,2016,Mean,SWEMWBS Score,24.35,All,With Children,All,All,All
S12000030,Stirling,2016,Mean,SWEMWBS Score,23.85,Rented,All,All,All,All
S12000006,Dumfries and Galloway,2016,Mean,SWEMWBS Score,23.71,All,Adults,All,All,All
S12000030,Stirling,2016,Mean,SWEMWBS Score,24.47,Owned Mortgage/Loan,All,All,All,All
S12000005,Clackmannanshire,2016,Mean,SWEMWBS Score,23.54,All,Adults,All,All,All
S12000006,Dumfries and Galloway,2016,Mean,SWEMWBS Score,24.23,All,Pensioners,All,All,All
S12000045,East Dunbartonshire,2016,Mean,SWEMWBS Score,24.41,Rented,All,All,All,All
S12000045,East Dunbartonshire,2016,Mean,SWEMWBS Score,25.03,Owned Mortgage/Loan,All,All,All,All
S12000042,Dundee City,2016,Mean,SWEMWBS Score,24.28,Owned Mortgage/Loan,All,All,All,All
S12000042,Dundee City,2016,Mean,SWEMWBS Score,22.91,Rented,All,All,All,All
S12000041,Angus,2016,Mean,SWEMWBS Score,25.29,Owned Mortgage/Loan,All,All,All,All
S12000041,Angus,2016,Mean,SWEMWBS Score,23.18,Rented,All,All,All,All
S12000042,Dundee City,2016,Mean,SWEMWBS Score,23.84,Owned Outright,All,All,All,All
S12000008,East Ayrshire,2016,Mean,SWEMWBS Score,24.15,All,Pensioners,All,All,All
S12000041,Angus,2016,Mean,SWEMWBS Score,24.01,Owned Outright,All,All,All,All
S12000040,West Lothian,2016,Mean,SWEMWBS Score,24.86,Owned Outright,All,All,All,All
S12000040,West Lothian,2016,Mean,SWEMWBS Score,23.74,Rented,All,All,All,All
S12000040,West Lothian,2016,Mean,SWEMWBS Score,25.36,Owned Mortgage/Loan,All,All,All,All
S12000039,West Dunbartonshire,2016,Mean,SWEMWBS Score,24.58,Owned Outright,All,All,All,All
S12000035,Argyll and Bute,2016,Mean,SWEMWBS Score,25.65,Owned Outright,All,All,All,All
S12000035,Argyll and Bute,2016,Mean,SWEMWBS Score,25.14,Owned Mortgage/Loan,All,All,All,All
S12000039,West Dunbartonshire,2016,Mean,SWEMWBS Score,24.19,Rented,All,All,All,All
S12000036,City of Edinburgh,2016,Mean,SWEMWBS Score,23.75,Rented,All,All,All,All
S12000039,West Dunbartonshire,2016,Mean,SWEMWBS Score,26,Owned Mortgage/Loan,All,All,All,All
S12000034,Aberdeenshire,2016,Mean,SWEMWBS Score,23.82,Rented,All,All,All,All
S12000036,City of Edinburgh,2016,Mean,SWEMWBS Score,24.4,Owned Outright,All,All,All,All
S12000034,Aberdeenshire,2016,Mean,SWEMWBS Score,24.84,Owned Mortgage/Loan,All,All,All,All
S12000035,Argyll and Bute,2016,Mean,SWEMWBS Score,23.8,Rented,All,All,All,All
S12000036,City of Edinburgh,2016,Mean,SWEMWBS Score,24.08,Owned Mortgage/Loan,All,All,All,All
S12000033,Aberdeen City,2016,Mean,SWEMWBS Score,24.92,Owned Mortgage/Loan,All,All,All,All
S12000028,South Ayrshire,2016,Mean,SWEMWBS Score,24.53,Owned Mortgage/Loan,All,All,All,All
S12000033,Aberdeen City,2016,Mean,SWEMWBS Score,25.29,Owned Outright,All,All,All,All
S12000028,South Ayrshire,2016,Mean,SWEMWBS Score,23.51,Rented,All,All,All,All
S12000028,South Ayrshire,2016,Mean,SWEMWBS Score,24.94,Owned Outright,All,All,All,All
S12000030,Stirling,2016,Mean,SWEMWBS Score,24.39,Owned Outright,All,All,All,All
S12000034,Aberdeenshire,2016,Mean,SWEMWBS Score,24.92,Owned Outright,All,All,All,All
S12000033,Aberdeen City,2016,Mean,SWEMWBS Score,23.79,Rented,All,All,All,All
S12000029,South Lanarkshire,2016,Mean,SWEMWBS Score,24.7,Owned Outright,All,All,All,All
S12000038,Renfrewshire,2016,Mean,SWEMWBS Score,24.62,Owned Mortgage/Loan,All,All,All,All
S12000038,Renfrewshire,2016,Mean,SWEMWBS Score,22.56,Rented,All,All,All,All
S12000038,Renfrewshire,2016,Mean,SWEMWBS Score,25.12,Owned Outright,All,All,All,All
S12000027,Shetland Islands,2016,Mean,SWEMWBS Score,24.27,Rented,All,All,All,All
S12000029,South Lanarkshire,2016,Mean,SWEMWBS Score,22.8,Rented,All,All,All,All
S12000029,South Lanarkshire,2016,Mean,SWEMWBS Score,25.26,Owned Mortgage/Loan,All,All,All,All
S12000027,Shetland Islands,2016,Mean,SWEMWBS Score,25.2,Owned Outright,All,All,All,All
S12000048,Perth and Kinross,2016,Mean,SWEMWBS Score,24.68,Owned Mortgage/Loan,All,All,All,All
S12000026,Scottish Borders,2016,Mean,SWEMWBS Score,24.88,Owned Mortgage/Loan,All,All,All,All
S12000027,Shetland Islands,2016,Mean,SWEMWBS Score,24.75,Owned Mortgage/Loan,All,All,All,All
S12000048,Perth and Kinross,2016,Mean,SWEMWBS Score,23.86,Rented,All,All,All,All
S12000017,Highland,2016,Mean,SWEMWBS Score,24.69,Owned Mortgage/Loan,All,All,All,All
S12000048,Perth and Kinross,2016,Mean,SWEMWBS Score,25,Owned Outright,All,All,All,All
S12000026,Scottish Borders,2016,Mean,SWEMWBS Score,25.16,Owned Outright,All,All,All,All
S12000023,Orkney Islands,2016,Mean,SWEMWBS Score,23.91,Rented,All,All,All,All
S12000021,North Ayrshire,2016,Mean,SWEMWBS Score,25.52,Owned Outright,All,All,All,All
S12000023,Orkney Islands,2016,Mean,SWEMWBS Score,26.95,Owned Mortgage/Loan,All,All,All,All
S12000023,Orkney Islands,2016,Mean,SWEMWBS Score,25.58,Owned Outright,All,All,All,All
S12000021,North Ayrshire,2016,Mean,SWEMWBS Score,23.09,Rented,All,All,All,All
S12000021,North Ayrshire,2016,Mean,SWEMWBS Score,25.16,Owned Mortgage/Loan,All,All,All,All
S12000026,Scottish Borders,2016,Mean,SWEMWBS Score,23.88,Rented,All,All,All,All
S12000020,Moray,2016,Mean,SWEMWBS Score,25.15,Owned Outright,All,All,All,All
S12000020,Moray,2016,Mean,SWEMWBS Score,22.58,Rented,All,All,All,All
S12000020,Moray,2016,Mean,SWEMWBS Score,24.68,Owned Mortgage/Loan,All,All,All,All
S12000019,Midlothian,2016,Mean,SWEMWBS Score,23.94,Rented,All,All,All,All
S12000019,Midlothian,2016,Mean,SWEMWBS Score,25.11,Owned Mortgage/Loan,All,All,All,All
S12000019,Midlothian,2016,Mean,SWEMWBS Score,25.16,Owned Outright,All,All,All,All
S12000018,Inverclyde,2016,Mean,SWEMWBS Score,22.87,Rented,All,All,All,All
S12000018,Inverclyde,2016,Mean,SWEMWBS Score,24.62,Owned Mortgage/Loan,All,All,All,All
S12000017,Highland,2016,Mean,SWEMWBS Score,23.87,Rented,All,All,All,All
S12000047,Fife,2016,Mean,SWEMWBS Score,25.58,Owned Outright,All,All,All,All
S12000017,Highland,2016,Mean,SWEMWBS Score,25.31,Owned Outright,All,All,All,All
S12000018,Inverclyde,2016,Mean,SWEMWBS Score,24.87,Owned Outright,All,All,All,All
S12000047,Fife,2016,Mean,SWEMWBS Score,25.16,Owned Mortgage/Loan,All,All,All,All
S12000047,Fife,2016,Mean,SWEMWBS Score,23.93,Rented,All,All,All,All
S12000014,Falkirk,2016,Mean,SWEMWBS Score,24.45,Owned Outright,All,All,All,All
S12000014,Falkirk,2016,Mean,SWEMWBS Score,23.54,Rented,All,All,All,All
S12000014,Falkirk,2016,Mean,SWEMWBS Score,24.67,Owned Mortgage/Loan,All,All,All,All
S12000013,Na h-Eileanan Siar,2016,Mean,SWEMWBS Score,24.7,Rented,All,All,All,All
S12000013,Na h-Eileanan Siar,2016,Mean,SWEMWBS Score,24.68,Owned Mortgage/Loan,All,All,All,All
S12000013,Na h-Eileanan Siar,2016,Mean,SWEMWBS Score,25.45,Owned Outright,All,All,All,All
S12000011,East Renfrewshire,2016,Mean,SWEMWBS Score,22.5,Rented,All,All,All,All
S12000011,East Renfrewshire,2016,Mean,SWEMWBS Score,24.71,Owned Mortgage/Loan,All,All,All,All
S12000011,East Renfrewshire,2016,Mean,SWEMWBS Score,25.02,Owned Outright,All,All,All,All
S12000010,East Lothian,2016,Mean,SWEMWBS Score,24.5,Owned Mortgage/Loan,All,All,All,All
S12000005,Clackmannanshire,2014-2017,Mean,SWEMWBS Score,24.1,All,All,All,All,All
S12000045,East Dunbartonshire,2016,Mean,SWEMWBS Score,25.45,Owned Outright,All,All,All,All
S12000010,East Lothian,2016,Mean,SWEMWBS Score,23.43,Rented,All,All,All,All
S12000008,East Ayrshire,2016,Mean,SWEMWBS Score,23.22,Rented,All,All,All,All
S12000010,East Lothian,2016,Mean,SWEMWBS Score,24.38,Owned Outright,All,All,All,All
S12000006,Dumfries and Galloway,2014-2017,Mean,SWEMWBS Score,24.27,All,All,All,All,All
S12000008,East Ayrshire,2016,Mean,SWEMWBS Score,24.17,Owned Mortgage/Loan,All,All,All,All
S12000008,East Ayrshire,2016,Mean,SWEMWBS Score,24.55,Owned Outright,All,All,All,All
S12000006,Dumfries and Galloway,2016,Mean,SWEMWBS Score,23.75,Owned Mortgage/Loan,All,All,All,All
S12000008,East Ayrshire,2014-2017,Mean,SWEMWBS Score,23.7,All,All,All,All,All
S12000006,Dumfries and Galloway,2016,Mean,SWEMWBS Score,23.6,Rented,All,All,All,All
S12000006,Dumfries and Galloway,2016,Mean,SWEMWBS Score,24.61,Owned Outright,All,All,All,All
S12000010,East Lothian,2014-2017,Mean,SWEMWBS Score,24.53,All,All,All,All,All
S12000005,Clackmannanshire,2016,Mean,SWEMWBS Score,24.64,Owned Outright,All,All,All,All
S12000005,Clackmannanshire,2016,Mean,SWEMWBS Score,23.69,Rented,All,All,All,All
S12000005,Clackmannanshire,2016,Mean,SWEMWBS Score,23.83,Owned Mortgage/Loan,All,All,All,All
S12000011,East Renfrewshire,2014-2017,Mean,SWEMWBS Score,24.55,All,All,All,All,All
S12000042,Dundee City,2016,Mean,SWEMWBS Score,23.48,All,All,All,All,All
S12000045,East Dunbartonshire,2016,Mean,SWEMWBS Score,25.11,All,All,All,All,All
S12000038,Renfrewshire,2016,Mean,SWEMWBS Score,24.11,All,All,All,All,All
S12000013,Na h-Eileanan Siar,2014-2017,Mean,SWEMWBS Score,24.53,All,All,All,All,All
S12000041,Angus,2016,Mean,SWEMWBS Score,24.19,All,All,All,All,All
S12000014,Falkirk,2014-2017,Mean,SWEMWBS Score,24.29,All,All,All,All,All
S12000039,West Dunbartonshire,2016,Mean,SWEMWBS Score,24.82,All,All,All,All,All
S12000036,City of Edinburgh,2016,Mean,SWEMWBS Score,24.02,All,All,All,All,All
S12000040,West Lothian,2016,Mean,SWEMWBS Score,24.74,All,All,All,All,All
S12000039,West Dunbartonshire,2014-2017,Mean,SWEMWBS Score,24.43,All,All,All,All,All
S12000026,Scottish Borders,2016,Mean,SWEMWBS Score,24.62,All,All,All,All,All
S12000020,Moray,2014-2017,Mean,SWEMWBS Score,24.47,All,All,All,All,All
S12000048,Perth and Kinross,2016,Mean,SWEMWBS Score,24.54,All,All,All,All,All
S12000023,Orkney Islands,2016,Mean,SWEMWBS Score,25.62,All,All,All,All,All
S12000040,West Lothian,2014-2017,Mean,SWEMWBS Score,24.48,All,All,All,All,All
S12000036,City of Edinburgh,2014-2017,Mean,SWEMWBS Score,24.39,All,All,All,All,All
S12000038,Renfrewshire,2014-2017,Mean,SWEMWBS Score,24.17,All,All,All,All,All
S12000041,Angus,2014-2017,Mean,SWEMWBS Score,24.36,All,All,All,All,All
S12000018,Inverclyde,2014-2017,Mean,SWEMWBS Score,24.01,All,All,All,All,All
S12000019,Midlothian,2014-2017,Mean,SWEMWBS Score,25.05,All,All,All,All,All
S12000028,South Ayrshire,2016,Mean,SWEMWBS Score,24.4,All,All,All,All,All
S12000017,Highland,2014-2017,Mean,SWEMWBS Score,24.62,All,All,All,All,All
S12000027,Shetland Islands,2016,Mean,SWEMWBS Score,24.79,All,All,All,All,All
S12000005,Clackmannanshire,2016,Mean,SWEMWBS Score,24.06,All,All,All,All,All
S12000029,South Lanarkshire,2014-2017,Mean,SWEMWBS Score,24.39,All,All,All,All,All
S12000029,South Lanarkshire,2016,Mean,SWEMWBS Score,24.32,All,All,All,All,All
S12000027,Shetland Islands,2014-2017,Mean,SWEMWBS Score,24.95,All,All,All,All,All
S12000019,Midlothian,2016,Mean,SWEMWBS Score,24.81,All,All,All,All,All
S12000021,North Ayrshire,2016,Mean,SWEMWBS Score,24.5,All,All,All,All,All
S12000020,Moray,2016,Mean,SWEMWBS Score,24.07,All,All,All,All,All
S12000021,North Ayrshire,2014-2017,Mean,SWEMWBS Score,24.09,All,All,All,All,All
S12000018,Inverclyde,2016,Mean,SWEMWBS Score,24.16,All,All,All,All,All
S12000035,Argyll and Bute,2016,Mean,SWEMWBS Score,24.99,All,All,All,All,All
S12000034,Aberdeenshire,2016,Mean,SWEMWBS Score,24.65,All,All,All,All,All
S12000033,Aberdeen City,2016,Mean,SWEMWBS Score,24.54,All,All,All,All,All
S12000030,Stirling,2016,Mean,SWEMWBS Score,24.25,All,All,All,All,All
S12000017,Highland,2016,Mean,SWEMWBS Score,24.56,All,All,All,Male,All
S12000014,Falkirk,2016,Mean,SWEMWBS Score,24.18,All,All,All,Female,All
S12000047,Fife,2016,Mean,SWEMWBS Score,24.63,All,All,All,Female,All
S12000008,East Ayrshire,2016,Mean,SWEMWBS Score,24.51,All,All,All,Male,All
S12000047,Fife,2016,Mean,SWEMWBS Score,25.16,All,All,All,Male,All
S12000013,Na h-Eileanan Siar,2016,Mean,SWEMWBS Score,24.97,All,All,All,Female,All
S12000013,Na h-Eileanan Siar,2016,Mean,SWEMWBS Score,25.25,All,All,All,Male,All
S12000011,East Renfrewshire,2016,Mean,SWEMWBS Score,24.58,All,All,All,Female,All
S12000010,East Lothian,2016,Mean,SWEMWBS Score,24.45,All,All,All,Male,All
S12000010,East Lothian,2016,Mean,SWEMWBS Score,23.79,All,All,All,Female,All
S12000023,Orkney Islands,2016,Mean,SWEMWBS Score,24.99,All,All,All,Male,All
S12000008,East Ayrshire,2016,Mean,SWEMWBS Score,23.34,All,All,All,Female,All
S12000006,Dumfries and Galloway,2016,Mean,SWEMWBS Score,24.01,All,All,All,Male,All
S12000011,East Renfrewshire,2016,Mean,SWEMWBS Score,24.31,All,All,All,Male,All
S12000006,Dumfries and Galloway,2016,Mean,SWEMWBS Score,24.08,All,All,All,Female,All
S12000035,Argyll and Bute,2014-2017,Mean,SWEMWBS Score,25.2,All,All,All,All,All
S12000030,Stirling,2014-2017,Mean,SWEMWBS Score,24.49,All,All,All,All,All
S12000033,Aberdeen City,2014-2017,Mean,SWEMWBS Score,24.53,All,All,All,All,All
S12000034,Aberdeenshire,2014-2017,Mean,SWEMWBS Score,24.85,All,All,All,All,All
S12000014,Falkirk,2016,Mean,SWEMWBS Score,24.18,All,All,All,Male,All
S12000042,Dundee City,2014-2017,Mean,SWEMWBS Score,23.83,All,All,All,All,All
S12000048,Perth and Kinross,2014,Mean,SWEMWBS Score,24.91,Owned Outright,All,All,All,All
S12000048,Perth and Kinross,2014,Mean,SWEMWBS Score,24.66,All,All,All,All,All
S12000048,Perth and Kinross,2014,Mean,SWEMWBS Score,24.81,All,All,All,Male,All
S12000048,Perth and Kinross,2014,Mean,SWEMWBS Score,25.21,All,All,16-34 years,All,All
S12000048,Perth and Kinross,2014,Mean,SWEMWBS Score,24.62,All,All,35-64 years,All,All
S12000048,Perth and Kinross,2015,Mean,SWEMWBS Score,24.45,All,All,All,Female,All
S12000048,Perth and Kinross,2015,Mean,SWEMWBS Score,24.55,All,All,All,Male,All
S12000048,Perth and Kinross,2014-2015,Mean,SWEMWBS Score,24.49,All,All,All,All,All
S12000045,East Dunbartonshire,2014-2017,Mean,SWEMWBS Score,24.68,All,All,All,All,All
S12000048,Perth and Kinross,2015,Mean,SWEMWBS Score,24.62,All,All,16-64 years,All,All
S12000048,Perth and Kinross,2014,Mean,SWEMWBS Score,24.82,All,All,16-64 years,All,All
S12000048,Perth and Kinross,2014,Mean,SWEMWBS Score,24.69,All,Adults,All,All,All
S12000048,Perth and Kinross,2015,Mean,SWEMWBS Score,24.5,All,All,All,All,All
S12000026,Scottish Borders,2014-2017,Mean,SWEMWBS Score,24.55,All,All,All,All,All
S12000048,Perth and Kinross,2015,Mean,SWEMWBS Score,24.4,All,Pensioners,All,All,All
S12000048,Perth and Kinross,2014,Mean,SWEMWBS Score,24.33,All,Pensioners,All,All,All
S12000048,Perth and Kinross,2015,Mean,SWEMWBS Score,24.71,All,With Children,All,All,All
S12000048,Perth and Kinross,2014,Mean,SWEMWBS Score,25.01,All,With Children,All,All,All
S12000017,Highland,2016,Mean,SWEMWBS Score,24.68,All,All,All,All,All
S12000013,Na h-Eileanan Siar,2016,Mean,SWEMWBS Score,25.11,All,All,All,All,All
S12000023,Orkney Islands,2014-2017,Mean,SWEMWBS Score,25.67,All,All,All,All,All
S12000028,South Ayrshire,2014-2017,Mean,SWEMWBS Score,24.11,All,All,All,All,All
S12000014,Falkirk,2016,Mean,SWEMWBS Score,24.18,All,All,All,All,All
S12000011,East Renfrewshire,2016,Mean,SWEMWBS Score,24.46,All,All,All,All,All
S12000006,Dumfries and Galloway,2016,Mean,SWEMWBS Score,24.04,All,All,All,All,All
S12000010,East Lothian,2016,Mean,SWEMWBS Score,24.1,All,All,All,All,All
S12000047,Fife,2016,Mean,SWEMWBS Score,24.88,All,All,All,All,All
S12000008,East Ayrshire,2016,Mean,SWEMWBS Score,23.91,All,All,All,All,All
S12000047,Fife,2015,Mean,SWEMWBS Score,24.45,All,All,All,Female,All
S12000047,Fife,2015,Mean,SWEMWBS Score,24.52,All,All,All,Male,All
S12000047,Fife,2014,Mean,SWEMWBS Score,24.54,All,All,16-64 years,All,All
S12000047,Fife,2014-2015,Mean,SWEMWBS Score,24.47,All,All,All,All,All
S12000048,Perth and Kinross,2014,Mean,SWEMWBS Score,24.51,All,All,All,Female,All
S12000048,Perth and Kinross,2014,Mean,SWEMWBS Score,24.73,Owned Mortgage/Loan,All,All,All,All
S12000048,Perth and Kinross,2014,Mean,SWEMWBS Score,24.37,Rented,All,All,All,All
S12000048,Perth and Kinross,2015,Mean,SWEMWBS Score,24.77,Owned Mortgage/Loan,All,All,All,All
S12000048,Perth and Kinross,2015,Mean,SWEMWBS Score,25.05,All,All,16-34 years,All,All
S12000048,Perth and Kinross,2015,Mean,SWEMWBS Score,24.2,Owned Outright,All,All,All,All
S12000048,Perth and Kinross,2015,Mean,SWEMWBS Score,24.4,All,All,35-64 years,All,All
S12000047,Fife,2015,Mean,SWEMWBS Score,24.5,All,All,16-64 years,All,All
S12000048,Perth and Kinross,2015,Mean,SWEMWBS Score,24.43,All,Adults,All,All,All
S12000048,Perth and Kinross,2015,Mean,SWEMWBS Score,24.61,Rented,All,All,All,All
S12000019,Midlothian,2014-2015,Mean,SWEMWBS Score,25.57,All,All,All,All,All
S12000027,Shetland Islands,2014-2015,Mean,SWEMWBS Score,25.12,All,All,All,All,All
S12000034,Aberdeenshire,2014-2015,Mean,SWEMWBS Score,24.81,All,All,All,All,All
S12000035,Argyll and Bute,2014-2015,Mean,SWEMWBS Score,25.05,All,All,All,All,All
S12000038,Renfrewshire,2014-2015,Mean,SWEMWBS Score,24.41,All,All,All,All,All
S12000020,Moray,2014-2015,Mean,SWEMWBS Score,24.62,All,All,All,All,All
S12000021,North Ayrshire,2014-2015,Mean,SWEMWBS Score,24.16,All,All,All,All,All
S12000026,Scottish Borders,2014-2015,Mean,SWEMWBS Score,24.62,All,All,All,All,All
S12000023,Orkney Islands,2014-2015,Mean,SWEMWBS Score,26.07,All,All,All,All,All
S12000047,Fife,2014,Mean,SWEMWBS Score,23.84,Rented,All,All,All,All
S12000041,Angus,2014-2015,Mean,SWEMWBS Score,24.46,All,All,All,All,All
S12000047,Fife,2014,Mean,SWEMWBS Score,25.14,Owned Mortgage/Loan,All,All,All,All
S12000042,Dundee City,2014-2015,Mean,SWEMWBS Score,23.98,All,All,All,All,All
S12000040,West Lothian,2014-2015,Mean,SWEMWBS Score,24.48,All,All,All,All,All
S12000047,Fife,2014,Mean,SWEMWBS Score,24.83,All,All,16-34 years,All,All
S12000047,Fife,2014,Mean,SWEMWBS Score,24.51,All,All,All,Female,All
S12000047,Fife,2014,Mean,SWEMWBS Score,24.66,All,All,All,Male,All
S12000047,Fife,2015,Mean,SWEMWBS Score,23.91,All,Adults,All,All,All
S12000047,Fife,2015,Mean,SWEMWBS Score,23.34,Rented,All,All,All,All
S12000045,East Dunbartonshire,2014-2015,Mean,SWEMWBS Score,24.59,All,All,All,All,All
S12000047,Fife,2015,Mean,SWEMWBS Score,25.13,Owned Mortgage/Loan,All,All,All,All
S12000047,Fife,2015,Mean,SWEMWBS Score,25.34,All,With Children,All,All,All
S12000039,West Dunbartonshire,2014-2015,Mean,SWEMWBS Score,24.24,All,All,All,All,All
S12000047,Fife,2014,Mean,SWEMWBS Score,24.58,All,All,All,All,All
S12000047,Fife,2014,Mean,SWEMWBS Score,24.75,Owned Outright,All,All,All,All
S12000047,Fife,2014,Mean,SWEMWBS Score,24.37,All,All,35-64 years,All,All
S12000018,Inverclyde,2014-2015,Mean,SWEMWBS Score,24.1,All,All,All,All,All
S12000013,Na h-Eileanan Siar,2014-2015,Mean,SWEMWBS Score,24.52,All,All,All,All,All
S12000014,Falkirk,2014-2015,Mean,SWEMWBS Score,24.45,All,All,All,All,All
S12000028,South Ayrshire,2014-2015,Mean,SWEMWBS Score,23.97,All,All,All,All,All
S12000029,South Lanarkshire,2014-2015,Mean,SWEMWBS Score,24.29,All,All,All,All,All
S12000033,Aberdeen City,2014-2015,Mean,SWEMWBS Score,24.53,All,All,All,All,All
S12000036,City of Edinburgh,2014-2015,Mean,SWEMWBS Score,24.65,All,All,All,All,All
S12000005,Clackmannanshire,2014-2015,Mean,SWEMWBS Score,24,All,All,All,All,All
S12000030,Stirling,2014-2015,Mean,SWEMWBS Score,24.67,All,All,All,All,All
